CountryRegionName;EDAD;Gender;MaritalStatus;NumberCarsOwned;TotalChildren;BikeBuyer;AvgMonthSpend;
United States;49;F;M;2;2;1;50.37;
Australia;41;F;S;0;0;1;51.84;
Germany;45;F;S;1;0;0;48.47;
United States;45;F;M;2;2;1;52.44;
United States;70;M;M;1;3;0;45.77;
United States;44;M;M;1;1;0;54.57;
United States;30;M;S;0;0;1;52.55;
Australia;43;F;S;2;0;1;51.15;
Australia;46;M;M;1;2;1;55.31;
Australia;37;M;M;2;0;1;50.93;
United States;38;M;M;1;2;0;55.78;
United States;47;F;M;0;2;1;52.04;
United States;66;M;S;2;1;1;54.78;
United Kingdom;35;F;S;1;0;0;48.52;
United States;33;F;S;3;0;1;52.94;
United Kingdom;55;F;S;1;0;0;49.82;
Australia;36;F;S;1;0;0;53.85;
United States;34;M;M;1;1;1;49.84;
United States;42;F;S;2;0;1;52.54;
United States;69;M;S;0;1;1;53.76;
United States;46;F;M;1;2;0;50.68;
United States;38;F;S;2;0;0;53.33;
Australia;28;M;S;0;0;1;49.64;
France;46;F;M;1;2;0;50.55;
Canada;31;F;S;2;0;1;55.18;
United States;34;M;M;1;1;1;48.71;
France;36;F;S;0;0;0;45.07;
United States;38;M;M;3;2;1;65.29;
United States;45;F;M;3;1;1;52.28;
Canada;53;M;M;2;2;1;48.96;
United States;39;F;S;0;0;1;49.83;
Australia;40;M;S;1;0;0;60.95;
United Kingdom;25;F;S;2;0;1;49.02;
Australia;26;M;M;2;0;1;49.95;
Canada;63;M;M;2;2;1;52.19;
United States;58;F;M;0;2;1;48.37;
Germany;51;F;S;0;0;0;51.68;
United States;29;F;S;0;0;1;47.45;
United States;35;F;S;3;0;0;52.34;
Canada;34;M;M;1;2;1;51.3;
United States;63;M;M;0;2;0;48.34;
United Kingdom;61;F;M;1;2;1;49.91;
Canada;46;F;M;2;2;1;53.74;
United States;30;F;M;0;0;1;46.58;
United States;47;M;M;2;2;1;54.01;
Australia;34;F;S;2;0;0;50.76;
United States;33;F;M;0;2;1;48.95;
United States;39;M;S;2;0;1;63.85;
United States;39;M;M;0;1;1;48.03;
United States;30;F;M;1;0;0;48.55;
United States;40;M;S;2;0;1;51.94;
Canada;28;F;S;1;0;0;49.88;
United States;30;M;M;2;0;1;47.88;
United States;51;M;M;2;2;1;56.86;
United States;44;M;M;0;2;1;50.77;
United States;50;M;M;0;1;1;58.93;
Canada;55;F;M;2;2;1;52.52;
Australia;64;F;M;1;2;0;52.14;
Germany;52;M;M;1;2;1;60.33;
United Kingdom;52;F;S;2;0;1;48.06;
Germany;41;M;S;0;0;1;54.72;
Canada;47;F;M;1;1;0;46.72;
Australia;62;M;M;2;2;1;52.89;
Canada;44;F;S;0;0;1;50.49;
United States;41;M;S;2;0;1;54.09;
Australia;31;M;M;2;0;1;47.92;
United States;54;M;M;3;2;1;51.27;
United States;34;M;M;0;2;0;44.95;
United Kingdom;32;M;S;0;0;0;45.82;
France;36;F;M;2;2;1;55.68;
France;35;M;S;1;0;1;53.66;
Germany;39;F;S;0;0;1;53.89;
United States;38;M;M;2;0;1;59.88;
United Kingdom;39;F;M;2;0;1;52.11;
United Kingdom;32;M;S;0;0;0;47.59;
United States;39;F;S;2;0;1;51.45;
Australia;41;F;M;1;1;0;48.16;
France;39;M;M;1;2;1;51.27;
United States;51;M;M;2;2;1;57.58;
United States;40;F;S;2;0;0;53.38;
United States;61;M;M;0;2;1;51.67;
Canada;57;M;M;2;2;0;48.71;
France;54;M;M;1;2;1;50.25;
United States;49;M;M;1;2;0;56.2;
Germany;34;F;S;2;0;1;51.01;
Germany;39;F;M;0;2;1;49.8;
France;46;M;S;0;0;1;54.85;
United States;63;F;S;2;1;1;53.04;
Germany;41;F;S;1;0;0;50.17;
United Kingdom;54;M;M;1;2;1;54.08;
United States;34;M;M;0;2;1;53.3;
Australia;36;F;S;2;0;1;49.89;
United States;49;F;M;2;2;1;51.6;
France;30;M;S;0;0;0;49.1;
United States;25;F;S;1;0;0;50;
Australia;54;F;M;1;2;1;48.25;
United States;33;M;M;2;0;0;52.1;
United States;65;F;M;0;3;1;50.42;
Germany;44;M;S;2;0;1;61.62;
Germany;27;M;M;3;0;0;50.42;
Germany;38;M;M;0;1;0;56.64;
United Kingdom;35;F;S;2;0;1;51.41;
Australia;47;F;S;0;0;1;47.62;
United States;48;M;S;1;0;1;52.1;
Germany;40;M;S;1;0;0;59.24;
United States;38;F;M;0;2;0;52.68;
United States;48;M;S;1;0;0;59.09;
France;48;M;M;1;2;1;59.07;
United States;41;M;M;2;2;1;55.33;
Australia;40;M;M;3;2;1;60.88;
Germany;39;F;S;2;0;1;50.67;
Australia;28;F;M;0;0;0;50.85;
Germany;36;F;M;1;1;1;50.72;
United Kingdom;43;M;M;2;2;1;53.75;
United Kingdom;39;M;S;0;0;1;53.75;
United Kingdom;45;F;S;0;0;1;50.43;
United States;56;F;S;3;0;1;51.8;
Australia;34;M;S;0;0;0;47.35;
Germany;40;M;S;2;0;1;56.06;
Germany;50;F;M;2;2;0;49.02;
Canada;51;F;M;1;1;0;47;
Australia;39;F;M;2;1;0;48.44;
United States;39;F;S;2;0;0;49.16;
United States;59;F;S;1;1;0;50.59;
Australia;42;M;M;0;2;1;50.69;
Germany;35;M;S;0;0;0;49.56;
France;37;F;S;3;0;0;51.41;
France;28;F;S;0;0;0;48.07;
United Kingdom;91;F;S;2;1;1;53.7;
Germany;32;M;M;0;1;1;49.27;
Germany;49;M;M;1;2;1;52.27;
Germany;56;F;M;0;2;1;48.22;
United States;35;M;M;0;1;1;49.26;
United States;56;F;M;2;1;1;52.33;
United States;59;M;M;1;2;1;55.81;
United Kingdom;60;M;S;0;1;1;48.65;
United States;30;F;M;1;0;0;46.76;
Australia;37;F;S;0;0;1;52.34;
United States;49;F;M;1;2;1;48.79;
Germany;31;F;S;0;0;0;52.08;
United States;48;M;M;1;2;0;46.65;
Australia;37;M;S;2;0;1;52.13;
United Kingdom;27;F;S;0;0;0;54.67;
Australia;43;F;M;3;2;1;49.39;
United States;39;F;S;1;0;0;48.93;
Canada;68;F;M;1;2;1;52.89;
United States;41;M;M;2;1;0;55.4;
United States;27;M;S;0;0;0;45.95;
Canada;61;F;M;2;2;0;49.44;
Germany;59;M;M;2;2;1;51.71;
United States;27;M;S;1;0;1;51.76;
United States;35;F;S;0;0;1;52.75;
United States;30;M;M;0;0;0;46.04;
Germany;31;M;S;0;0;0;51.24;
United States;48;M;M;3;2;1;54.34;
United States;55;F;S;0;0;1;50.13;
United States;46;F;S;2;0;1;54.32;
United States;48;F;M;2;2;1;51.74;
United States;30;F;S;1;0;0;49.83;
United States;55;M;M;0;2;1;51.51;
France;45;F;S;0;0;1;49.25;
United States;32;F;M;1;1;0;50.52;
United States;72;M;M;1;3;1;47.49;
United States;45;M;M;1;2;1;61.65;
United Kingdom;50;F;M;0;2;1;52.41;
United States;27;F;M;1;0;1;46.85;
Germany;56;F;S;0;0;0;49.24;
Germany;46;M;M;0;1;1;51.21;
United States;50;M;M;1;2;0;52.58;
France;60;M;S;1;1;1;50.17;
United States;46;M;M;2;2;1;57.54;
United States;57;M;M;1;2;1;52.65;
United States;43;F;S;0;0;1;50.78;
United States;42;M;M;2;1;1;59.05;
Germany;50;M;M;0;2;1;57.08;
Germany;33;F;S;1;0;0;50.47;
United States;45;M;M;3;2;1;62.7;
France;42;F;M;2;2;1;53.02;
Australia;40;M;S;1;0;0;58.43;
United States;37;M;S;2;0;1;48.62;
United States;34;M;M;3;0;1;52.28;
United States;28;F;S;0;0;1;54.34;
United States;56;M;M;2;2;0;55.38;
United States;53;F;M;1;1;1;47.29;
France;39;M;M;0;1;0;55.15;
France;46;F;M;1;2;1;48.22;
France;24;M;S;1;0;1;50.16;
United States;51;F;S;2;0;0;53.6;
United States;38;M;S;1;0;1;56.14;
United Kingdom;44;M;S;1;0;1;51.25;
United Kingdom;32;F;S;1;0;0;47.17;
United Kingdom;35;F;S;2;0;1;56.05;
France;39;M;S;2;0;1;54.42;
United Kingdom;71;F;M;2;2;0;52.27;
Australia;27;F;S;1;0;0;50.52;
Australia;45;M;S;0;0;1;60.61;
Germany;28;M;S;0;0;0;52.7;
United States;28;F;S;0;0;0;47.12;
Australia;58;F;M;2;2;0;48.43;
Australia;28;M;S;0;0;0;46.56;
United States;46;F;M;0;1;1;48.7;
United Kingdom;55;F;M;0;2;0;45.89;
United States;39;F;M;0;2;1;47.09;
United States;56;M;M;0;2;1;45.66;
Germany;34;F;S;2;0;0;50.49;
United Kingdom;37;M;S;0;0;1;49.86;
United States;46;F;M;2;2;1;50.87;
United States;43;F;M;2;2;1;54.4;
Australia;33;F;S;1;0;0;50.07;
Australia;53;F;M;1;2;1;49.65;
United States;28;F;S;3;0;0;53.06;
Australia;45;M;S;2;0;1;53.41;
United Kingdom;25;F;S;3;0;0;54.45;
Canada;39;F;M;1;2;1;49.32;
United Kingdom;37;F;S;0;0;1;54.73;
United States;46;M;M;0;2;1;52.36;
United States;62;F;S;3;1;1;54.49;
United States;32;M;M;1;1;0;49.24;
United States;56;M;M;2;2;1;59.43;
Canada;68;M;M;2;3;0;48.8;
Canada;30;M;M;2;0;1;48.42;
Australia;32;M;M;1;1;0;45.99;
France;91;F;M;0;3;1;48.79;
Canada;33;F;M;3;0;1;53.09;
United States;42;F;S;2;0;0;54.84;
United States;47;M;S;1;0;1;58.95;
Germany;37;F;S;0;0;0;51.56;
United States;45;F;S;2;0;1;48.17;
United Kingdom;42;F;S;1;0;0;50.38;
Australia;26;F;S;3;0;1;56.08;
United States;36;F;M;3;0;1;50.96;
Australia;43;M;S;2;0;1;58.54;
United States;42;M;M;2;2;0;57.17;
United States;59;M;M;0;2;1;48.93;
France;48;M;S;0;0;0;49.9;
United States;31;F;S;3;0;1;56.02;
United Kingdom;67;M;M;1;2;1;55.16;
France;63;M;S;1;1;0;53.46;
France;38;M;M;1;2;1;49.14;
Germany;37;F;M;1;2;1;48.4;
France;42;M;M;2;0;1;54.12;
Canada;36;F;S;2;0;1;54.93;
Australia;35;M;S;3;0;0;52.04;
United States;69;F;S;0;1;1;55.46;
United States;66;M;M;1;2;1;55.27;
Germany;31;M;S;0;0;1;49.15;
United States;41;F;S;3;0;0;51.16;
Australia;37;M;M;2;0;1;51.91;
United States;68;F;M;2;2;0;50.18;
United States;33;F;M;2;0;1;52.31;
United States;50;F;S;1;0;0;48.73;
Canada;48;F;M;2;2;1;55.6;
Australia;38;F;M;2;2;1;52.82;
Australia;36;M;M;1;2;1;49.53;
Australia;36;F;M;3;0;1;51.87;
United States;67;F;M;2;2;1;47.84;
Germany;66;F;M;1;3;0;48.27;
United States;42;M;M;1;2;0;55.7;
United States;46;M;S;2;0;1;58.54;
United States;41;F;S;0;0;0;49.82;
United States;55;F;M;3;2;1;51.3;
United States;30;F;S;1;0;0;49.4;
France;31;M;S;0;0;0;53.54;
United States;43;F;S;1;0;0;50.28;
United States;41;M;M;2;2;0;56.42;
United Kingdom;37;F;S;0;0;1;45.5;
United Kingdom;46;F;M;0;2;1;48.98;
Germany;40;M;M;1;2;1;52.32;
United States;33;F;S;0;0;1;56.52;
United States;62;M;S;2;1;0;50.3;
United States;48;M;M;2;2;1;51.07;
United States;59;F;M;1;2;1;53.96;
Australia;36;M;S;1;0;0;51.34;
Germany;37;F;S;0;0;1;50.78;
Canada;43;M;M;1;2;0;53.19;
France;61;M;M;1;2;0;51.95;
United States;56;M;M;3;2;1;63.76;
Australia;41;M;S;2;0;0;62.06;
United States;63;M;S;1;1;1;48.48;
United States;50;M;M;1;1;1;52.3;
Australia;34;F;M;2;2;1;51.25;
United States;46;F;M;0;2;1;50.51;
Australia;34;M;M;1;1;1;49.85;
Australia;45;M;M;1;2;1;57.81;
France;42;M;M;2;2;0;59.3;
United Kingdom;37;M;M;1;1;1;51.96;
United States;51;F;M;0;2;1;49.56;
United States;30;M;S;1;0;0;51.3;
France;26;M;S;2;0;1;51.02;
United States;29;F;M;2;0;1;50.38;
Germany;59;F;M;2;3;1;53.97;
Germany;46;M;S;2;0;1;51.12;
Australia;38;F;S;0;0;0;50.26;
France;31;F;M;0;0;1;47.6;
Germany;30;M;M;1;0;0;46.38;
Canada;31;F;S;3;0;0;52.64;
Canada;42;M;M;0;2;1;48.82;
Australia;45;M;S;1;0;1;59.35;
Germany;40;M;M;2;0;0;57.19;
United States;37;F;S;0;0;0;53.05;
United States;33;M;M;0;2;1;49.81;
Germany;39;M;M;2;2;1;63.16;
Australia;57;F;M;1;2;1;48.79;
France;25;F;S;1;0;0;51.02;
Germany;46;F;M;3;2;1;56.95;
United States;44;M;M;2;2;1;53.92;
United States;42;M;M;0;2;1;50.76;
United Kingdom;48;F;M;0;2;1;52.39;
United States;47;F;M;1;2;1;48.25;
United States;30;F;S;1;0;0;50.64;
France;60;M;M;2;2;0;51.31;
United States;41;M;M;1;1;1;55.46;
Australia;38;F;S;0;0;1;48.62;
United States;40;M;M;2;0;0;51.52;
Germany;51;F;M;2;2;1;51.69;
Australia;28;M;S;1;0;0;47.48;
France;33;F;S;0;0;1;51.48;
France;68;F;M;2;2;0;48.38;
Canada;31;F;S;1;0;0;52.51;
United Kingdom;36;M;S;1;0;1;51.91;
Australia;36;F;M;3;1;1;53.41;
Australia;65;F;S;1;1;0;51.35;
Australia;45;F;M;2;0;1;51.97;
United States;85;M;M;1;2;0;47.52;
United Kingdom;33;M;S;1;0;0;51.35;
Germany;41;F;M;3;2;1;52.32;
Australia;25;F;M;2;0;0;47.93;
United States;41;M;S;1;0;0;57.14;
United States;66;M;M;3;3;1;51.51;
United States;40;F;S;2;0;0;51.09;
United States;53;F;M;2;2;1;48.13;
United Kingdom;61;M;S;2;1;0;55.72;
United States;38;M;M;1;2;1;54.76;
United States;24;M;S;1;0;1;49.14;
Australia;49;F;S;2;0;1;55.34;
United States;25;M;M;0;0;0;45.4;
France;35;M;M;0;2;0;45.6;
Australia;29;M;S;0;0;1;51.49;
France;60;F;M;1;2;1;54.69;
United States;55;M;M;2;1;1;51.52;
Canada;42;F;S;1;0;0;50.98;
United States;25;M;M;2;0;1;50.26;
United Kingdom;61;M;M;1;2;0;50.61;
United States;55;M;M;0;2;0;56.92;
France;49;F;M;1;2;0;44.83;
France;29;F;S;1;0;0;48.49;
United States;46;F;M;1;2;1;55.73;
Germany;61;F;M;1;3;0;48.89;
Australia;45;F;M;1;2;1;50.75;
Canada;31;F;M;2;0;1;48.06;
United States;36;F;M;2;1;0;49.58;
Germany;54;M;S;0;0;0;50.89;
United Kingdom;58;F;M;1;3;1;49.22;
Australia;48;M;M;1;2;0;58.05;
United Kingdom;52;M;S;1;0;0;50.52;
United States;41;M;M;1;2;1;58.79;
Germany;32;M;S;1;0;0;51.7;
Australia;38;F;S;3;0;0;54.15;
Australia;29;M;S;0;0;0;53.85;
Germany;46;F;M;1;1;1;48.08;
Australia;24;M;M;0;0;0;49.79;
United States;48;M;S;1;0;1;52.59;
Australia;36;M;S;1;0;0;48.1;
United Kingdom;50;M;M;1;2;0;49.4;
France;31;F;S;1;0;0;51.39;
United Kingdom;36;M;M;3;2;1;53.82;
Germany;60;M;S;2;1;0;54.43;
United States;35;M;M;1;2;0;49.75;
Australia;58;M;S;0;1;0;52.08;
United States;28;M;S;0;0;1;51.63;
France;40;M;S;2;0;0;58;
United Kingdom;38;F;S;2;0;1;54.98;
Germany;33;F;S;1;0;0;50.66;
United States;65;F;M;0;2;1;52.57;
United States;39;M;S;2;0;1;50.99;
United Kingdom;51;F;M;1;2;0;48.05;
Germany;27;F;S;0;0;1;49.83;
Australia;27;M;M;2;0;0;52.37;
Germany;38;F;S;2;0;1;48.59;
United States;36;F;S;2;0;1;49.68;
France;49;M;M;1;2;0;53.61;
Australia;62;M;M;1;2;1;53.29;
Germany;51;F;S;2;0;1;52.84;
Germany;50;F;M;1;2;0;50.09;
Australia;60;M;M;1;2;0;45.83;
United States;48;F;M;1;1;0;47.2;
Australia;42;F;M;2;2;1;53.01;
United States;44;M;M;2;2;1;50.04;
Australia;26;M;S;1;0;1;51.11;
United States;47;M;M;2;2;1;58.85;
Australia;38;M;S;1;0;1;58.33;
Australia;38;M;M;1;1;1;53.72;
United States;53;M;M;0;2;0;45.95;
United States;49;F;M;0;1;0;45.88;
Canada;36;F;S;1;0;0;49.42;
United Kingdom;40;M;M;2;0;0;52.85;
United Kingdom;33;M;S;2;0;1;52.91;
Canada;55;F;M;1;2;0;48.87;
Canada;25;M;S;0;0;1;47.93;
Canada;33;F;M;2;1;1;52.12;
United States;50;F;M;3;2;1;52.99;
Australia;35;M;S;2;0;1;52.63;
United States;31;F;S;3;0;1;55.28;
United States;41;M;M;3;1;1;52.74;
United States;40;F;M;2;2;1;53.78;
United States;46;M;M;2;0;1;59.8;
United States;49;F;S;1;0;0;45.21;
United States;25;M;M;1;0;0;48.8;
United States;39;M;S;2;0;1;57.48;
Canada;67;F;S;0;1;1;48.62;
Australia;49;M;S;0;0;1;52.95;
France;41;F;M;0;2;1;52.53;
United States;29;M;S;2;0;1;50.89;
United States;29;M;S;2;0;1;50.8;
United States;40;M;S;0;0;1;59.76;
United Kingdom;59;F;M;2;2;1;52.08;
United Kingdom;60;F;M;0;2;1;52.89;
France;31;M;S;1;0;1;54.24;
Canada;50;M;M;2;2;0;53.08;
Germany;50;M;S;0;0;1;60.84;
Australia;36;M;S;2;0;1;53.15;
France;61;F;M;1;2;1;48.11;
Australia;43;F;S;3;0;1;50.12;
Australia;33;F;M;2;2;0;48.67;
United States;40;F;M;3;2;1;51.29;
Germany;61;M;S;1;1;1;51.17;
United States;38;M;M;1;1;0;50.34;
United States;48;F;M;2;2;1;50.77;
United Kingdom;74;F;S;2;1;1;48.45;
Australia;51;M;M;2;2;1;58.51;
United States;50;M;S;0;0;0;53.63;
United States;39;M;S;0;0;0;50.83;
Germany;25;M;S;2;0;1;52.71;
United Kingdom;59;M;M;2;2;1;50.87;
United States;41;M;S;2;0;1;51.12;
United States;43;M;S;0;0;1;59.62;
France;38;M;S;2;0;1;54.05;
United Kingdom;38;F;S;2;0;0;49.57;
Australia;36;M;S;1;0;0;49.22;
United States;41;M;M;1;2;1;53.2;
United States;44;F;M;2;2;1;53.67;
United States;57;F;M;3;2;1;51.87;
United States;32;M;M;1;1;1;53.33;
France;31;M;S;1;0;0;45.31;
United States;39;F;S;0;0;1;51.83;
Australia;24;M;S;1;0;0;52.19;
